Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
13-Sep-2024,EQ,994.9,1006.0,988.0,986.15,991.85,992.1,994.82,1179.0,608.3,13203676,13135330656.1,330078
12-Sep-2024,EQ,976.3,988.0,958.0,976.3,984.0,986.15,973.48,1179.0,608.3,25675836,24994836924.25,612687
11-Sep-2024,EQ,1000.0,1011.55,971.25,1035.8,976.4,976.3,983.79,1179.0,608.3,36140411,35554573915.35,1060328
10-Sep-2024,EQ,1049.0,1049.0,1032.2,1038.7,1035.0,1035.8,1038.72,1179.0,608.3,6919238,7187165122.0,254751
09-Sep-2024,EQ,1049.35,1049.95,1026.25,1049.35,1040.8,1038.7,1035.04,1179.0,608.3,7206054,7458538437.0,250411
06-Sep-2024,EQ,1068.8,1072.95,1040.5,1069.15,1050.65,1049.35,1051.98,1179.0,605.6,8717377,9170490006.7,307427
05-Sep-2024,EQ,1081.0,1085.85,1066.95,1080.45,1068.7,1069.15,1074.87,1179.0,605.6,7900593,8492090556.35,224556
04-Sep-2024,EQ,1079.0,1085.0,1072.1,1085.1,1081.0,1080.45,1078.18,1179.0,605.6,4665908,5030680535.7,140011
03-Sep-2024,EQ,1097.6,1100.0,1082.2,1092.65,1086.55,1085.1,1089.2,1179.0,605.6,5088731,5542659967.15,164019
02-Sep-2024,EQ,1105.0,1105.0,1087.35,1111.35,1093.0,1092.65,1094.25,1179.0,605.6,8116675,8881710477.65,206392
30-Aug-2024,EQ,1113.95,1115.0,1097.45,1121.65,1109.0,1111.35,1109.49,1179.0,599.05,17647545,19579798333.8,276947
29-Aug-2024,EQ,1079.05,1142.0,1066.0,1074.55,1112.9,1121.65,1109.08,1179.0,599.05,40658159,45093083295.55,410027
28-Aug-2024,EQ,1082.95,1088.7,1070.1,1077.25,1073.8,1074.55,1078.2,1179.0,599.05,8145376,8782338142.85,145258
27-Aug-2024,EQ,1093.05,1096.65,1075.0,1092.4,1079.9,1077.25,1083.48,1179.0,599.05,8813305,9549007082.9,188735
26-Aug-2024,EQ,1089.0,1103.35,1082.85,1085.15,1094.4,1092.4,1095.15,1179.0,599.05,9415039,10310860261.9,206672
23-Aug-2024,EQ,1073.0,1092.6,1071.0,1068.45,1085.35,1085.15,1084.19,1179.0,593.3,10179655,11036665762.2,212611
22-Aug-2024,EQ,1090.0,1094.75,1064.95,1085.2,1072.0,1068.45,1073.05,1179.0,593.3,9377476,10062458859.25,213793
21-Aug-2024,EQ,1089.0,1095.3,1083.3,1086.9,1086.85,1085.2,1087.29,1179.0,593.3,4869876,5294953041.1,140012
20-Aug-2024,EQ,1097.0,1098.05,1082.05,1087.7,1087.0,1086.9,1086.98,1179.0,593.3,5625723,6115056870.4,152463
19-Aug-2024,EQ,1105.9,1107.0,1085.0,1098.35,1090.0,1087.7,1091.34,1179.0,593.3,6911441,7542757858.8,215413
16-Aug-2024,EQ,1072.0,1099.95,1070.0,1062.35,1098.0,1098.35,1088.94,1179.0,593.3,11435650,12452712625.8,359319
14-Aug-2024,EQ,1057.0,1067.05,1047.0,1053.45,1062.85,1062.35,1059.22,1179.0,593.3,8211830,8698160597.85,338678
13-Aug-2024,EQ,1074.85,1075.5,1048.2,1076.15,1056.35,1053.45,1058.44,1179.0,593.3,7508231,7946993629.2,256317
12-Aug-2024,EQ,1065.0,1079.9,1055.0,1068.1,1075.4,1076.15,1074.62,1179.0,593.3,11311050,12155120942.6,283848
09-Aug-2024,EQ,1055.0,1082.95,1052.05,1041.75,1071.0,1068.1,1070.33,1179.0,593.3,15443008,16529164246.2,403926
08-Aug-2024,EQ,1034.95,1056.4,1027.0,1025.3,1042.0,1041.75,1043.95,1179.0,593.3,19529790,20388169431.55,398999
07-Aug-2024,EQ,1036.05,1040.2,1015.05,1013.75,1027.0,1025.3,1022.17,1179.0,593.3,9978703,10199927148.55,270211
06-Aug-2024,EQ,1030.0,1060.65,1008.4,1016.45,1018.55,1013.75,1032.34,1179.0,593.3,16726393,17267402640.3,529099
05-Aug-2024,EQ,1059.95,1065.0,1014.05,1096.65,1015.45,1016.45,1034.68,1179.0,593.3,26651144,27575430534.5,774396
02-Aug-2024,EQ,1120.0,1120.0,1090.05,1144.4,1095.0,1096.65,1102.36,1179.0,593.3,21967812,24216406152.15,521622
01-Aug-2024,EQ,1167.0,1176.0,1136.5,1156.65,1142.65,1144.4,1152.27,1179.0,593.3,14375948,16565040996.0,315403
31-Jul-2024,EQ,1164.0,1167.9,1145.3,1161.85,1159.0,1156.65,1155.71,1179.0,593.3,10860623,12551738775.95,276733
30-Jul-2024,EQ,1125.8,1179.0,1118.6,1124.0,1162.0,1161.85,1159.58,1179.0,593.3,28592304,33154978461.75,479248
29-Jul-2024,EQ,1124.0,1139.9,1118.6,1118.3,1124.0,1124.0,1126.98,1139.9,593.3,11850624,13355395151.85,240071
26-Jul-2024,EQ,1111.95,1120.5,1083.6,1090.95,1116.05,1118.3,1102.42,1120.5,593.3,21232845,23407596444.55,350076
25-Jul-2024,EQ,1029.0,1094.0,1024.35,1027.7,1089.05,1090.95,1072.7,1094.0,593.3,32766835,35148851986.1,643962
24-Jul-2024,EQ,997.8,1034.25,995.15,1001.8,1026.45,1027.7,1024.27,1065.6,593.3,11469098,11747466151.5,253508
23-Jul-2024,EQ,1007.9,1008.65,967.2,1003.15,1001.0,1001.8,996.08,1065.6,593.3,10384177,10343474615.85,278738
22-Jul-2024,EQ,990.0,1008.0,976.55,990.0,1003.9,1003.15,996.51,1065.6,593.3,7396198,7370349634.0,184710
19-Jul-2024,EQ,1024.0,1024.0,986.65,1024.55,990.8,990.0,1002.41,1065.6,593.3,7400178,7418029167.7,222285
18-Jul-2024,EQ,1022.95,1027.0,1008.0,1021.15,1025.0,1024.55,1019.04,1065.6,593.3,8010324,8162846376.75,227199
16-Jul-2024,EQ,1025.5,1029.6,1019.2,1024.45,1020.0,1021.15,1023.51,1065.6,593.3,4824555,4937999824.75,112175
15-Jul-2024,EQ,1021.35,1029.8,1017.3,1016.75,1024.5,1024.45,1025.55,1065.6,593.3,5847333,5996756146.45,159747
12-Jul-2024,EQ,1023.85,1025.9,1015.0,1020.8,1018.2,1016.75,1020.26,1065.6,593.3,7339644,7488335702.4,177026
11-Jul-2024,EQ,1008.0,1025.5,1007.05,1005.5,1021.2,1020.8,1020.12,1065.6,593.3,11983571,12224730348.7,262202
10-Jul-2024,EQ,1015.0,1019.85,986.05,1014.95,1004.3,1005.5,1006.58,1065.6,593.3,13412206,13500445675.6,266731
09-Jul-2024,EQ,1000.95,1017.0,998.1,1002.6,1014.15,1014.95,1010.93,1065.6,593.3,10948094,11067756784.35,204321
08-Jul-2024,EQ,1005.0,1016.6,996.2,993.65,1002.9,1002.6,1005.86,1065.6,593.3,13312085,13390156806.85,258538
05-Jul-2024,EQ,1005.0,1006.6,989.95,998.2,992.9,993.65,996.93,1065.6,584.95,9050375,9022629661.7,207489
04-Jul-2024,EQ,984.0,1004.0,979.6,975.65,1002.5,998.2,992.82,1065.6,584.95,12139832,12052690682.1,228411
03-Jul-2024,EQ,984.95,987.35,973.5,981.3,977.25,975.65,977.3,1065.6,584.95,7346258,7179527220.45,230730
02-Jul-2024,EQ,1004.05,1005.0,979.1,1002.05,982.5,981.3,988.36,1065.6,584.95,12284132,12141166752.35,252422
01-Jul-2024,EQ,989.75,1005.5,985.2,989.75,1000.0,1002.05,996.45,1065.6,584.95,14006105,13956345878.05,247271
28-Jun-2024,EQ,975.0,998.5,972.55,972.1,989.2,989.75,989.82,1065.6,557.8,23025267,22790923244.55,426973
27-Jun-2024,EQ,952.5,974.85,948.05,951.85,972.6,972.1,959.23,1065.6,557.8,19385412,18595083922.2,273327
26-Jun-2024,EQ,956.0,962.5,950.1,955.0,952.5,951.85,956.51,1065.6,557.8,6908988,6608539093.4,182508
25-Jun-2024,EQ,960.0,962.85,949.3,958.05,955.5,955.0,954.6,1065.6,557.8,7304128,6972550149.55,215159
24-Jun-2024,EQ,960.9,963.5,950.05,961.8,959.0,958.05,957.97,1065.6,557.8,6655577,6375811978.75,182820
21-Jun-2024,EQ,979.0,980.9,958.1,978.25,960.0,961.8,966.4,1065.6,557.7,14303735,13823176478.2,386477
